project,commit,coveredClass,coveredClassPath,dstar,ochiai,tarantula,barinel,uniq_changes,developers,age,isSusFlaky
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentTopic$4,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentTopic.java,0.0625,0.2425356250363329,0.923444976076555,1.1061113412434884e-14,47,11,1608690.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentTopic$3,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentTopic.java,0.0588235294117647,0.2357022603955158,0.919047619047619,5.888457169999593e-15,47,11,1608690.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$ModularLoadManagerWrapper,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/ModularLoadManagerWrapper.java,0.0555555555555555,0.2294157338705617,0.9146919431279622,3.2437745659291845e-15,6,2,3238448.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance$LoadReportUpdaterTask,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/LoadReportUpdaterTask.java,0.0555555555555555,0.2294157338705617,0.9146919431279622,3.2437745659291845e-15,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin$AdminResource,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/AdminResource.java,0.0476190476190476,0.2132007163556104,0.9018691588785048,6.442870512941122e-16,16,4,1756054.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.lookup$TopicLookupBase,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/lookup/TopicLookupBase.java,0.0476190476190476,0.2132007163556104,0.9018691588785048,6.442870512941122e-16,2,1,3039148.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.lookup.v1$TopicLookup,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/lookup/v1/TopicLookup.java,0.0476190476190476,0.2132007163556104,0.9018691588785048,6.442870512941122e-16,1,1,3245346.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentTopic$1,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentTopic.java,0.0454545454545454,0.2085144140570747,0.8976744186046512,3.947120541030125e-16,47,11,1608690.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentTopic$TopicStatsHelper,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentTopic.java,0.0454545454545454,0.2085144140570747,0.8976744186046512,3.947120541030125e-16,47,11,1608690.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.namespace$NamespaceService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/namespace/NamespaceService.java,0.0416666666666666,0.2,0.8894009216589862,1.5745972824004866e-16,16,5,2946218.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.web$PulsarWebResource,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/web/PulsarWebResource.java,0.0416666666666666,0.2,0.8894009216589862,1.5745972824004866e-16,15,5,1921740.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$BrokerService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/BrokerService.java,0.04,0.196116135138184,0.8853211009174312,1.0220206947436078e-16,41,10,1608690.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentSubscription$2,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentSubscription.java,0.037037037037037,0.1889822365046136,0.8772727272727272,4.516650034977012e-17,15,5,1696498.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.utils$CopyOnWriteArrayList,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/utils/CopyOnWriteArrayList.java,0.037037037037037,0.1889822365046136,0.8772727272727272,4.516650034977012e-17,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentMessageExpiryMonitor,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentMessageExpiryMonitor.java,0.0357142857142857,0.1856953381770518,0.8733031674208144,3.068336310584807e-17,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$PulsarStats,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/PulsarStats.java,0.032258064516129,0.1767766952966368,0.8616071428571429,1.0373215956637e-17,9,3,2008746.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats$NamespaceStats,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/NamespaceStats.java,0.032258064516129,0.1767766952966368,0.8616071428571429,1.0373215956637e-17,1,1,28646919.0,0.0
