formula,metric_name,metric_value
barinel,density,0.25487146732499893
barinel,uniqueness,0.019118428040361127
barinel,entropy_barinel,-0.0
dstar,density,0.25487146732499893
dstar,uniqueness,0.019118428040361127
dstar,entropy_dstar,-0.0
ochiai,density,0.25487146732499893
ochiai,uniqueness,0.019118428040361127
ochiai,entropy_ochiai,-0.0
tarantula,density,0.25487146732499893
tarantula,uniqueness,0.019118428040361127
tarantula,entropy_tarantula,-0.0
barinel,density,0.10914086660714437
barinel,uniqueness,0.030470150282641665
barinel,entropy_barinel,0.10963375519177374
dstar,density,0.10914086660714437
dstar,uniqueness,0.030470150282641665
dstar,entropy_dstar,1931.3493098917918
ochiai,density,0.10914086660714437
ochiai,uniqueness,0.030470150282641665
ochiai,entropy_ochiai,3268.4817203426715
tarantula,density,0.10914086660714437
tarantula,uniqueness,0.030470150282641665
tarantula,entropy_tarantula,2493.4777693241417
barinel,density,0.11524883659745629
barinel,uniqueness,0.03345062377187771
barinel,entropy_barinel,0.14129968906942206
dstar,density,0.11524883659745629
dstar,uniqueness,0.03345062377187771
dstar,entropy_dstar,2036.0586431522122
ochiai,density,0.11524883659745629
ochiai,uniqueness,0.03345062377187771
ochiai,entropy_ochiai,3494.940183217072
tarantula,density,0.11524883659745629
tarantula,uniqueness,0.03345062377187771
tarantula,entropy_tarantula,2711.71524521829
