project,commit,coveredClass,coveredClassPath,dstar,ochiai,tarantula,barinel,uniq_changes,developers,age,isSusFlaky
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$ShiroCaffeineCache,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/ShiroCaffeineCache.java,0.0178571428571428,0.1324532357065043,0.9164179104477612,1.798515488714343e-20,3,1,20517950.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$LdapRealm,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/LdapRealm.java,0.0158730158730158,0.125,0.9069423929098964,5.025005492230827e-21,35,4,4182373.0,1.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.log$SecurityLog,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/log/SecurityLog.java,0.002262443438914,0.0475114338145579,0.581439393939394,2.8559794175676384e-30,5,5,2993370.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$EnterpriseSecurityModule,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/EnterpriseSecurityModule.java,0.0022421524663677,0.0472983769840402,0.579245283018868,2.5870743751596018e-30,28,5,3346970.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$EnterpriseSecurityModule$SecurityConfig,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/EnterpriseSecurityModule.java,0.0022421524663677,0.0472983769840402,0.579245283018868,2.5870743751596018e-30,28,5,3346970.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$ShiroCaffeineCache$Manager,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/ShiroCaffeineCache.java,0.0022421524663677,0.0472983769840402,0.579245283018868,2.5870743751596018e-30,3,1,20517950.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$SecureHasher,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/SecureHasher.java,0.0021321961620469,0.0461265604014442,0.5669436749769159,1.4896746391946512e-30,1,1,19497248.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$ShiroAuthToken,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/ShiroAuthToken.java,0.002079002079002,0.0455487518674276,0.5607305936073059,1.128856979018472e-30,9,4,4518852.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$MultiRealmAuthManager,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/MultiRealmAuthManager.java,0.0019920318725099,0.0445877962067709,0.5501792114695341,7.061381462210048e-31,36,7,6818910.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$ShiroSubjectFactory,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/ShiroSubjectFactory.java,0.0019920318725099,0.0445877962067709,0.5501792114695341,7.061381462210048e-31,2,1,27160638.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$ShiroAuthenticationStrategy,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/ShiroAuthenticationStrategy.java,0.0019920318725099,0.0445877962067709,0.5501792114695341,7.061381462210048e-31,1,1,27160638.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$InternalFlatFileRealm,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/InternalFlatFileRealm.java,0.0,0.0,0.0,0.0,85,9,5675002.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$AbstractRoleRepository,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/AbstractRoleRepository.java,0.0,0.0,0.0,0.0,16,5,18893516.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$PredefinedRolesBuilder$1,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/PredefinedRolesBuilder.java,0.0,0.0,0.0,0.0,10,3,3355321.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$PersonalUserManager,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/PersonalUserManager.java,0.0,0.0,0.0,0.0,9,3,4991117.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$AuthProceduresBase,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/AuthProceduresBase.java,0.0,0.0,0.0,0.0,12,6,4182373.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$UserManagementProcedures,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/UserManagementProcedures.java,0.0,0.0,0.0,0.0,11,3,9908369.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$RoleRecord$Builder,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/RoleRecord.java,0.0,0.0,0.0,0.0,4,2,28502842.0,0.0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$RoleRecord,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/RoleRecord.java,0.0,0.0,0.0,0.0,4,2,28502842.0,0.0
