formula,metric_name,metric_value
barinel,density,0.17614638154242446
barinel,uniqueness,0.13061532653831634
barinel,entropy_barinel,-0.0
dstar,density,0.17614638154242446
dstar,uniqueness,0.13061532653831634
dstar,entropy_dstar,-0.0
ochiai,density,0.17614638154242446
ochiai,uniqueness,0.13061532653831634
ochiai,entropy_ochiai,-0.0
tarantula,density,0.17614638154242446
tarantula,uniqueness,0.13061532653831634
tarantula,entropy_tarantula,-0.0
barinel,density,0.17602470648657903
barinel,uniqueness,0.11274699728787292
barinel,entropy_barinel,0.02377484201201938
dstar,density,0.17602470648657903
dstar,uniqueness,0.11274699728787292
dstar,entropy_dstar,65.01804624803454
ochiai,density,0.17602470648657903
ochiai,uniqueness,0.11274699728787292
ochiai,entropy_ochiai,212.47879635785526
tarantula,density,0.17602470648657903
tarantula,uniqueness,0.11274699728787292
tarantula,entropy_tarantula,206.62498524478644
barinel,density,0.1839523657489651
barinel,uniqueness,0.09965371296652559
barinel,entropy_barinel,-0.0
dstar,density,0.1839523657489651
dstar,uniqueness,0.09965371296652559
dstar,entropy_dstar,-0.0
ochiai,density,0.1839523657489651
ochiai,uniqueness,0.09965371296652559
ochiai,entropy_ochiai,-0.0
tarantula,density,0.1839523657489651
tarantula,uniqueness,0.09965371296652559
tarantula,entropy_tarantula,-0.0
