Name	Commit		GitHub URL	Parent commit	Test Name	Date	Modyfing	Comments	Categories Guillaume	Categories Adriano	Categories final decision	Module suspected to be flaky	Line rank	Method rank	Class rank	Class rank (worst case)	Within the top x% (churn)  	top x% (# of developers)  	top x% (age)  		#Tests	#Classes	#CoveredClasses	#CoveredClassesByFlakyTests
apache/pulsar	85f3ff4edbaa10c7894af8ad823cbce37b13829c		https://github.com/apache/pulsar/commit/85f3ff4edbaa10c7894af8ad823cbce37b13829c	e7c7e2e3147a0a7498142eb6a64a7123cc497e6d	TopicReaderTest.testHasMessageAvailable	3 December 2020	Test and Code		Hard to classify		Hard to classify	ServerCnx			1		1.8	1.8	6		507	4444	166	58
apache/pulsar	21f6dcdda406423f1bcfe4761831b7297d659fd1		https://github.com/apache/pulsar/commit/21f6dcdda406423f1bcfe4761831b7297d659fd1		?	8 December 2020	Test and Code	2				Broker/Admin												
apache/pulsar	19e6546a3d86169b75b122b2a4b4d1884133a4f3		https://github.com/apache/pulsar/commit/19e6546a3d86169b75b122b2a4b4d1884133a4f3	9335c491	MessageIdTest.testChecksumVersionComptability, MessageIdTest.testChecksumReconnection	25 January 2021	Test and Code		Async wait	Async wait	Async wait	EnumValuesDataProvider,ServerCnx,TlsProducerConsumerBase, KeyStoreTlsProducerConsumerTestWithAuth,KeyStoreTlsProducerConsumerTestWithoutAuth,ClientCnx, PartitionedProducerImpl, ProducerImpl, PulsarClientImpl, PulsarHandler, ServerConnection, ProxyConnection	2	2	2		1.8	2.4	8.4		222	4562	165	120
apache/pulsar	24f759c677bfe7cbb2228cab8a38f2ebd0893945		https://github.com/apache/pulsar/commit/24f759c677bfe7cbb2228cab8a38f2ebd0893945	4cea22b5c73af66915d1deb480311ba94eebc637	DiscoveryServiceTest.testBrokerDiscoveryRoundRobin	28 January 2021	Test and Code		Async wait	Async wait	Async wait	BrokerDiscoveryProvider	1	1	1		58.9	69	73.6		453	13630	146	5
apache/pulsar	610b17d6433b0894a541421841b525741f8d5d40		https://github.com/apache/pulsar/commit/610b17d6433b0894a541421841b525741f8d5d40	fcb2bb6ea46531f3673400e088e5bf68325fad61	AntiAffinityNamespaceGroupTest.testBrokerSelectionForAntiAffinityGroup	11 February 2021	Test and Code		Async wait	Concurency	Concurrency	GenericBrokerHostUsageImpl,LinuxBrokerHostUsageImpl			63	48					584	350	198	77
apache/pulsar	b2796f39785dde2178f1882638aea2feae70211c		https://github.com/apache/pulsar/commit/b2796f39785dde2178f1882638aea2feae70211c	36b44c34ceb159b5ac9d6b8b744c24dead63731f	AuthorizationTest.simple	5 March 2021	Code		Hard to classify		Hard to classify	PersistentTopicsBase,AuthPolicies			8		1.6	1.6	2		1326	30289	87	87
apache/pulsar	3ce9a3833e4c1bff8d6f185bc7f02f4e61d2af21		https://github.com/apache/pulsar/commit/3ce9a3833e4c1bff8d6f185bc7f02f4e61d2af21	fa68cb20	StreamingEntryReaderTests.testCanReadEntryFromMLedgerSizeExceededLimit	16 March 2021	Test and Code	4				StreamingEntryReader					100	100	36.5					
apache/pulsar	46cfd8e55ee159b74b3d8c823cb78eaeb9eb88ee		https://github.com/apache/pulsar/commit/46cfd8e55ee159b74b3d8c823cb78eaeb9eb88ee	71cd67f104e4f4efd7d682eec6e3e4a7b8927402	testReadMessageWithoutBatchingWithMessageInclusive, testReadMessageWithBatchingWithMessageInclusive	23 April 2021	Test and Code	6				Client												
apache/pulsar	c4e1b8b03deca8b99dccc0022bde8f83cd572db4		https://github.com/apache/pulsar/commit/c4e1b8b03deca8b99dccc0022bde8f83cd572db4	4e1e06a6c9fd3f14d516f27df75c51e967bc8a6a	TransactionEndToEndTest.cleanup / ManagedLedgerFactoryImpl.shutdown	25 April 2021	Code	3																
apache/pulsar	b71bc6510f24541ccb0585d8cd8ebfbd84a336bd		https://github.com/apache/pulsar/commit/b71bc6510f24541ccb0585d8cd8ebfbd84a336bd	0b67438d23bbbc46b500e896a18aad715a514fd9	ServerCnxTest .testDuplicateConcurrentSubscribeCommand	25 June 2021	Test and Code		Async wait	Concurency 	Concurrency	ServerCnx	1	1	1		1.4	1.1	8.3		1028	33698	280	18
