project,commit,coveredClass,coveredClassPath,isSusFlaky,sm_dates,sm_randoms,sm_io,sm_collections,sm_threads,sm_networks,sm_lines,sm_doi,sm_cc
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.thrift$PersistCommandOptions,alluxio/core/common/src/main/java/alluxio/thrift/PersistCommandOptions.java,0,0,0,0,2,0,0,413,0,31
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.wire$AlluxioWorkerInfo,alluxio/core/common/src/main/java/alluxio/wire/AlluxioWorkerInfo.java,0,0,0,0,0,0,0,200,0,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.security.authorization$ModeParser,alluxio/core/common/src/main/java/alluxio/security/authorization/ModeParser.java,0,0,0,0,0,0,0,103,0,7
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.security.authentication$PlainSaslTransportProvider,alluxio/core/common/src/main/java/alluxio/security/authentication/PlainSaslTransportProvider.java,0,0,0,0,1,0,0,81,0,3
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.security.group.provider$ShellBasedUnixGroupsMapping,alluxio/core/common/src/main/java/alluxio/security/group/provider/ShellBasedUnixGroupsMapping.java,0,0,0,0,0,0,0,19,0,0
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.util$UnderFileSystemUtils,alluxio/core/common/src/main/java/alluxio/util/UnderFileSystemUtils.java,0,0,0,0,0,0,0,136,0,4
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.collections$PrefixList,alluxio/core/common/src/main/java/alluxio/collections/PrefixList.java,0,0,0,0,0,0,0,89,0,8
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.heartbeat$SleepingTimer,alluxio/core/common/src/main/java/alluxio/heartbeat/SleepingTimer.java,0,0,0,0,0,0,0,54,0,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.util$WaitForOptions,alluxio/core/common/src/main/java/alluxio/util/WaitForOptions.java,0,0,0,0,0,0,0,75,0,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.util$SecurityUtils,alluxio/core/common/src/main/java/alluxio/util/SecurityUtils.java,0,0,0,0,0,0,0,86,0,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.retry$ExponentialBackoffRetry,alluxio/core/common/src/main/java/alluxio/retry/ExponentialBackoffRetry.java,0,0,0,0,0,0,0,41,1,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.exception.status$FailedPreconditionException,alluxio/core/common/src/main/java/alluxio/exception/status/FailedPreconditionException.java,0,0,0,0,0,0,0,25,3,0
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.wire$BlockLocation,alluxio/core/common/src/main/java/alluxio/wire/BlockLocation.java,0,0,0,0,0,0,0,103,0,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.thrift$BlockLocation,alluxio/core/common/src/main/java/alluxio/thrift/BlockLocation.java,0,0,0,0,1,0,0,569,0,55
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.proxy$AlluxioProxyProcess,alluxio/core/server/proxy/src/main/java/alluxio/proxy/AlluxioProxyProcess.java,1,0,0,0,0,0,0,67,0,1
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.underfs.options$OpenOptions,alluxio/core/common/src/main/java/alluxio/underfs/options/OpenOptions.java,0,0,0,0,0,0,0,79,0,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.underfs$ObjectUnderFileSystem,alluxio/core/common/src/main/java/alluxio/underfs/ObjectUnderFileSystem.java,0,0,0,0,0,0,0,633,1,46
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.resource$DynamicResourcePool,alluxio/core/common/src/main/java/alluxio/resource/DynamicResourcePool.java,0,0,0,0,1,0,0,468,0,16
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio$AbstractMasterClient,alluxio/core/common/src/main/java/alluxio/AbstractMasterClient.java,0,0,0,0,0,0,0,50,1,3
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.master.block$BlockId,alluxio/core/common/src/main/java/alluxio/master/block/BlockId.java,0,0,0,0,0,0,0,44,0,0
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.wire$MasterInfo,alluxio/core/common/src/main/java/alluxio/wire/MasterInfo.java,0,0,0,0,0,0,0,86,0,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.wire$StartupConsistencyCheck,alluxio/core/common/src/main/java/alluxio/wire/StartupConsistencyCheck.java,0,0,0,0,0,0,0,65,0,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.thrift$ListStatusTOptions,alluxio/core/common/src/main/java/alluxio/thrift/ListStatusTOptions.java,0,0,0,0,1,0,0,473,0,42
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.thrift$FreeTOptions,alluxio/core/common/src/main/java/alluxio/thrift/FreeTOptions.java,0,0,0,0,1,0,0,454,0,38
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.security.group.provider$IdentityUserGroupsMapping,alluxio/core/common/src/main/java/alluxio/security/group/provider/IdentityUserGroupsMapping.java,0,0,0,0,0,0,0,17,0,0
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.thrift$AlluxioService,alluxio/core/common/src/main/java/alluxio/thrift/AlluxioService.java,0,0,0,0,6,0,0,825,0,33
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.job$Job,alluxio/core/common/src/main/java/alluxio/job/Job.java,0,0,0,0,0,0,0,25,0,0
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.thrift$BlockWorkerClientService,alluxio/core/common/src/main/java/alluxio/thrift/BlockWorkerClientService.java,0,0,0,0,25,0,0,10744,0,729
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.wire$FileInfo,alluxio/core/common/src/main/java/alluxio/wire/FileInfo.java,0,0,0,0,0,0,0,522,0,5
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.util.network$NettyUtils,alluxio/core/common/src/main/java/alluxio/util/network/NettyUtils.java,0,0,0,0,0,0,0,128,0,3
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio$PropertyKey,alluxio/core/common/src/main/java/alluxio/PropertyKey.java,0,0,0,0,0,0,0,1233,0,8
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.underfs.options$MkdirsOptions,alluxio/core/common/src/main/java/alluxio/underfs/options/MkdirsOptions.java,0,0,0,0,0,0,0,121,0,2
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio$AbstractThriftClient,alluxio/core/common/src/main/java/alluxio/AbstractThriftClient.java,0,0,0,0,0,0,0,78,0,1
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.exception.status$PermissionDeniedException,alluxio/core/common/src/main/java/alluxio/exception/status/PermissionDeniedException.java,0,0,0,0,0,0,0,25,3,0
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.thrift$PersistFile,alluxio/core/common/src/main/java/alluxio/thrift/PersistFile.java,0,0,0,0,2,0,0,511,0,43
alluxio,c292bf85eddfe2d9ee608f14bfc2c980701dd494,alluxio.wire$AlluxioMasterInfo,alluxio/core/common/src/main/java/alluxio/wire/AlluxioMasterInfo.java,0,0,0,0,0,0,0,278,0,2
