project,commit,coveredClass,coveredClassPath,isSusFlaky,sm_dates,sm_randoms,sm_io,sm_collections,sm_threads,sm_networks,sm_lines,sm_doi,sm_cc
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$ShiroSubjectFactory,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/ShiroSubjectFactory.java,0,0,0,0,0,0,0,16,0,0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.log$SecurityLog,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/log/SecurityLog.java,0,0,0,0,0,0,0,188,1,1
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth.plugin$PluginApiAuthToken,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/plugin/PluginApiAuthToken.java,0,0,0,0,0,0,0,66,0,2
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$ShiroCaffeineCache,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/ShiroCaffeineCache.java,0,0,0,0,2,0,0,134,0,1
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$MultiRealmAuthManager,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/MultiRealmAuthManager.java,0,0,0,0,0,0,0,213,0,24
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$ShiroSubject,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/ShiroSubject.java,0,0,0,0,0,0,0,26,1,0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$FileRoleRepository,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/FileRoleRepository.java,0,0,0,0,0,0,0,66,2,3
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$PersonalUserManager,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/PersonalUserManager.java,0,0,0,0,0,0,0,325,0,7
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$PredefinedRolesBuilder,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/PredefinedRolesBuilder.java,0,0,0,0,3,0,0,64,0,2
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$SecurityProcedures,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/SecurityProcedures.java,0,0,0,0,0,0,0,22,1,1
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$AuthProceduresBase,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/AuthProceduresBase.java,0,0,0,0,2,0,0,129,0,2
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth.plugin$PluginAuthInfo,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/plugin/PluginAuthInfo.java,0,0,0,0,2,0,0,61,2,1
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$UserManagementProcedures,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/UserManagementProcedures.java,0,0,0,0,0,0,0,138,1,3
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth.plugin$PluginRealm,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/plugin/PluginRealm.java,0,0,0,0,0,0,0,415,1,31
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$ShiroAuthToken,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/ShiroAuthToken.java,0,0,0,0,0,0,0,79,0,2
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth.plugin$PluginAuthorizationInfo,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/plugin/PluginAuthorizationInfo.java,0,0,0,0,0,0,0,11,1,0
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$StandardEnterpriseSecurityContext,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/StandardEnterpriseSecurityContext.java,0,0,0,0,0,0,0,218,0,5
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$SecureHasher,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/SecureHasher.java,0,0,0,0,0,0,0,41,0,2
neo4j,dd15215b0de8504fd743310892e772dbfc7f616b,org.neo4j.server.security.enterprise.auth$LdapRealm,neo4j/enterprise/security/src/main/java/org/neo4j/server/security/enterprise/auth/LdapRealm.java,1,0,0,0,0,0,0,563,1,34
