project,commit,coveredClass,coveredClassPath,isSusFlaky,sm_dates,sm_randoms,sm_io,sm_collections,sm_threads,sm_networks,sm_lines,sm_doi,sm_cc
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin.v2$BrokerStats,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/v2/BrokerStats.java,0,0,0,0,0,0,0,31,3,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin.v1$PersistentTopics,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/v1/PersistentTopics.java,0,0,0,0,0,0,0,425,3,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin.v2$Tenants,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/v2/Tenants.java,0,0,0,0,0,0,0,1,3,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.utils$StatsOutputStream,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/utils/StatsOutputStream.java,0,0,0,0,0,0,0,105,1,2
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentReplicator,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentReplicator.java,0,0,0,0,0,0,0,517,1,41
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.web$AuthenticationFilter,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/web/AuthenticationFilter.java,0,0,0,0,0,0,0,44,0,1
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.zookeeper.aspectj$ClientCnxnAspect,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/zookeeper/aspectj/ClientCnxnAspect.java,0,0,0,0,0,0,0,152,0,25
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$TimeAverageMessageData,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/TimeAverageMessageData.java,0,0,0,0,0,0,0,156,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.web$ResponseHandlerFilter,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/web/ResponseHandlerFilter.java,0,0,0,0,0,0,0,35,0,1
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin.v2$Brokers,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/v2/Brokers.java,0,0,0,0,0,0,0,1,3,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin.impl$BrokerStatsBase,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/impl/BrokerStatsBase.java,0,0,0,0,0,0,0,121,2,1
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$LeastLongTermMessageRate,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/LeastLongTermMessageRate.java,0,0,0,0,0,0,0,97,0,9
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.schema$BookkeeperSchemaStorage,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/schema/BookkeeperSchemaStorage.java,0,0,0,0,2,0,0,434,0,25
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.namespace$OwnedBundle,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/namespace/OwnedBundle.java,0,0,0,0,0,0,0,133,0,2
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin.impl$PersistentTopicsBase,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/impl/PersistentTopicsBase.java,0,0,0,0,6,2,0,1255,2,99
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.compaction$CompactedTopicImpl,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/compaction/CompactedTopicImpl.java,0,0,0,0,0,0,0,204,0,11
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats$ClusterReplicationMetrics,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/ClusterReplicationMetrics.java,0,0,0,0,0,0,0,58,0,1
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats$NamespaceStats,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/NamespaceStats.java,0,0,0,0,0,0,0,53,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.schema$BookkeeperSchemaStorageFactory,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/schema/BookkeeperSchemaStorageFactory.java,0,0,0,0,0,0,0,8,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats$DimensionStats,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/DimensionStats.java,0,0,0,0,0,0,0,81,0,2
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.common.naming$NamespaceBundle,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/common/naming/NamespaceBundle.java,0,0,0,0,0,0,0,115,0,4
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$BrokerData,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/BrokerData.java,0,0,0,0,0,0,0,40,0,0
