project,commit,coveredClass,coveredClassPath,isSusFlaky,sm_dates,sm_randoms,sm_io,sm_collections,sm_threads,sm_networks,sm_lines,sm_doi,sm_cc
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$KeyValueHeap,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/KeyValueHeap.java,0,0,0,0,0,0,0,402,2,33
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$HRegionFileSystem,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionFileSystem.java,0,0,0,4,0,1,0,1142,0,77
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$StoreScanner,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java,0,0,0,1,0,0,0,1078,2,85
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver.handler$OpenPriorityRegionHandler,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/handler/OpenPriorityRegionHandler.java,0,0,0,0,0,0,0,6,2,0
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.master$TableNamespaceManager,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/TableNamespaceManager.java,0,0,0,1,0,1,0,324,0,25
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.io.hfile$CacheConfig,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/CacheConfig.java,0,0,0,0,0,0,0,638,0,26
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver.compactions$Compactor,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/Compactor.java,0,0,0,0,0,0,0,432,0,30
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.ipc$SimpleRpcScheduler,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/SimpleRpcScheduler.java,0,0,0,0,0,0,0,223,1,15
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.ipc$NettyServerRpcConnection,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/NettyServerRpcConnection.java,0,0,0,0,0,0,1,89,1,6
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.ipc$ServerCall,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/ServerCall.java,0,0,0,0,0,0,0,456,0,25
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.master$MasterWalManager,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterWalManager.java,0,0,0,0,4,3,0,253,0,21
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$MetricsRegion,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsRegion.java,0,0,0,0,0,0,0,46,0,0
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$StoreFileComparators,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFileComparators.java,0,0,0,0,0,0,0,64,0,1
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.master.locking$LockManager,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/locking/LockManager.java,0,0,0,0,0,0,0,227,0,9
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.util$ShutdownHookManager,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/util/ShutdownHookManager.java,0,0,0,0,0,0,0,72,0,1
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$StoreFlusher,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFlusher.java,0,0,0,0,0,0,0,110,0,8
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.executor$ExecutorService,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/executor/ExecutorService.java,0,0,0,0,0,2,0,274,0,15
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.quotas$MasterQuotaManager,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/MasterQuotaManager.java,0,0,0,5,1,1,0,509,0,33
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$CustomizedScanInfoBuilder,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/CustomizedScanInfoBuilder.java,0,0,0,0,0,0,0,56,0,1
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$MetricsTableWrapperAggregateImpl,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsTableWrapperAggregateImpl.java,0,0,0,0,0,0,0,185,0,13
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$ScanType,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ScanType.java,0,0,0,0,0,0,0,4,1,0
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver.wal$MetricsWAL,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/MetricsWAL.java,0,0,0,0,0,4,0,43,0,2
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.master.normalizer$RegionNormalizerChore,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/normalizer/RegionNormalizerChore.java,0,0,0,0,0,0,0,19,1,0
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$HRegionServer,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,0,2,0,0,1,14,4,3503,1,285
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.replication.master$ReplicationPeerConfigUpgrader,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/replication/master/ReplicationPeerConfigUpgrader.java,0,0,0,0,0,0,0,120,0,10
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.util$JvmPauseMonitor,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/util/JvmPauseMonitor.java,0,0,0,0,0,3,0,171,0,11
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$MetricsRegionServer,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsRegionServer.java,0,0,0,0,0,0,0,173,0,15
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$IncreasingToUpperBoundRegionSplitPolicy,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/IncreasingToUpperBoundRegionSplitPolicy.java,0,0,0,0,0,0,0,86,3,7
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.master.procedure$CreateTableProcedure,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/CreateTableProcedure.java,0,0,0,1,1,0,0,339,3,18
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase$LocalHBaseCluster,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/LocalHBaseCluster.java,0,0,0,0,2,0,0,371,0,17
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.wal$AbstractFSWALProvider,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/wal/AbstractFSWALProvider.java,0,0,0,0,1,1,0,458,0,27
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.executor$ExecutorType,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/executor/ExecutorType.java,0,0,0,0,0,0,0,34,1,0
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver.wal$WALCellCodec,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/WALCellCodec.java,0,0,0,0,0,0,0,305,0,16
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.util$MultiHConnection,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/util/MultiHConnection.java,0,0,0,0,0,0,0,98,0,7
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.util$IdLock,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/util/IdLock.java,0,0,0,0,0,1,0,95,0,7
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.replication.regionserver$Replication,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/Replication.java,0,0,0,0,0,0,0,214,0,9
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.master$ClusterSchemaServiceImpl,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/ClusterSchemaServiceImpl.java,0,0,0,0,2,0,0,90,1,4
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$MemStoreSize,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreSize.java,0,0,0,0,0,0,0,54,0,1
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.util$ManualEnvironmentEdge,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/util/ManualEnvironmentEdge.java,0,0,0,0,0,0,0,17,0,0
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver.compactions$SortedCompactionPolicy,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/SortedCompactionPolicy.java,0,0,0,0,0,0,0,211,1,11
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.io.asyncfs$FanOutOneBlockAsyncDFSOutputSaslHelper,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/io/asyncfs/FanOutOneBlockAsyncDFSOutputSaslHelper.java,0,0,0,2,5,0,2,670,0,45
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$ConstantSizeRegionSplitPolicy,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ConstantSizeRegionSplitPolicy.java,0,0,0,0,0,0,0,58,2,6
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.master$MasterMobCompactionThread,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterMobCompactionThread.java,0,0,0,0,0,2,0,138,0,4
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.io.hfile$LruBlockCache,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/LruBlockCache.java,0,0,0,0,0,8,0,1087,0,69
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver$FlushAllLargeStoresPolicy,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/FlushAllLargeStoresPolicy.java,0,0,0,0,0,0,0,46,3,6
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.master.snapshot$SnapshotFileCache,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/snapshot/SnapshotFileCache.java,0,0,0,0,0,0,0,284,0,18
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.replication.regionserver$ReplicationLoad,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/ReplicationLoad.java,0,4,0,0,0,0,0,137,0,7
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.quotas$RegionServerRpcQuotaManager,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/RegionServerRpcQuotaManager.java,0,0,0,0,0,0,0,151,0,12
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.regionserver.querymatcher$ScanQueryMatcher,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/querymatcher/ScanQueryMatcher.java,0,0,0,0,0,0,0,373,0,24
hbase,a5b86dd77ad2866b0ab3c1774738ecb15e8719c7,org.apache.hadoop.hbase.util$AbstractFileStatusFilter,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/util/AbstractFileStatusFilter.java,0,0,0,0,0,0,0,29,0,0
