formula,metric_name,metric_value
barinel,density,0.3486966551326413
barinel,uniqueness,0.39215686274509803
barinel,entropy_barinel,2.8221758224462703E-6
dstar,density,0.3486966551326413
dstar,uniqueness,0.39215686274509803
dstar,entropy_dstar,11.609336227596781
ochiai,density,0.3486966551326413
ochiai,uniqueness,0.39215686274509803
ochiai,entropy_ochiai,42.0814064244111
tarantula,density,0.3486966551326413
tarantula,uniqueness,0.39215686274509803
tarantula,entropy_tarantula,47.87714126913877
barinel,density,0.345630472366293
barinel,uniqueness,0.35271317829457366
barinel,entropy_barinel,-0.0
dstar,density,0.345630472366293
dstar,uniqueness,0.35271317829457366
dstar,entropy_dstar,-0.0
ochiai,density,0.345630472366293
ochiai,uniqueness,0.35271317829457366
ochiai,entropy_ochiai,-0.0
tarantula,density,0.345630472366293
tarantula,uniqueness,0.35271317829457366
tarantula,entropy_tarantula,-0.0
