formula,metric_name,metric_value
barinel,density,0.07023330565668649
barinel,uniqueness,0.04745826299005815
barinel,entropy_barinel,-0.0
dstar,density,0.07023330565668649
dstar,uniqueness,0.04745826299005815
dstar,entropy_dstar,-0.0
ochiai,density,0.07023330565668649
ochiai,uniqueness,0.04745826299005815
ochiai,entropy_ochiai,-0.0
tarantula,density,0.07023330565668649
tarantula,uniqueness,0.04745826299005815
tarantula,entropy_tarantula,-0.0
barinel,density,0.07016214240095464
barinel,uniqueness,0.050759707371975236
barinel,entropy_barinel,0.009837240312969365
dstar,density,0.07016214240095464
dstar,uniqueness,0.050759707371975236
dstar,entropy_dstar,747.4962166558289
ochiai,density,0.07016214240095464
ochiai,uniqueness,0.050759707371975236
ochiai,entropy_ochiai,1984.1118768106248
tarantula,density,0.07016214240095464
tarantula,uniqueness,0.050759707371975236
tarantula,entropy_tarantula,1553.6964934357634
barinel,density,0.0873717291957957
barinel,uniqueness,0.2042987407729049
barinel,entropy_barinel,0.001675367534022646
dstar,density,0.0873717291957957
dstar,uniqueness,0.2042987407729049
dstar,entropy_dstar,158.24894866736145
ochiai,density,0.0873717291957957
ochiai,uniqueness,0.2042987407729049
ochiai,entropy_ochiai,423.48252229039406
tarantula,density,0.0873717291957957
tarantula,uniqueness,0.2042987407729049
tarantula,entropy_tarantula,335.52577724723227
barinel,density,0.16085502746596608
barinel,uniqueness,0.5506329113924051
barinel,entropy_barinel,1.8357552306900473E-10
dstar,density,0.16085502746596608
dstar,uniqueness,0.5506329113924051
dstar,entropy_dstar,17.56335896029918
ochiai,density,0.16085502746596608
ochiai,uniqueness,0.5506329113924051
ochiai,entropy_ochiai,50.360716343344215
tarantula,density,0.16085502746596608
tarantula,uniqueness,0.5506329113924051
tarantula,entropy_tarantula,43.611224780320484
