name;suspiciousness_value
org.apache.ignite.internal.pagemem.wal.record$PageSnapshot:49;1.0
org.apache.ignite.spi.communication.tcp$TcpCommunicationSpi$1$3:854;1.0
org.apache.ignite.spi.communication.tcp.internal$HandshakeException:33;1.0
org.apache.ignite.internal.pagemem.wal.record.delta$SplitExistingPageRecord:46;1.0
org.apache.ignite.internal.processors.cache.persistence.metastorage$MetsatorageSearchRowImpl:34;1.0
org.apache.ignite.internal.pagemem.wal.record.delta$NewRootInitRecord:61;1.0
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$GridDhtPartitionsExchangeFuture$8$3:4828;1.0
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$InitNewCoordinatorFuture:89;1.0
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$GridDhtPartitionsExchangeFuture$8$1:4748;1.0
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$GridDhtPartitionsExchangeFuture$8$1$1:4760;1.0
org.apache.ignite.internal.processors.cache.persistence.file$AbstractFileIO$3:99;1.0
org.apache.ignite.internal.processors.cache.persistence.wal$SegmentArchiveResult:41;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree$Tail:5229;1.0
org.apache.ignite.internal.pagemem.wal.record.delta$FixRemoveId:39;1.0
org.apache.ignite.internal.pagemem.wal.record.delta$FixCountRecord:38;1.0
org.apache.ignite.internal.pagemem.wal.record.delta$MetaPageAddRootRecord:38;1.0
org.apache.ignite.spi.communication.tcp.messages$HandshakeWaitMessage:42;1.0
org.apache.ignite.internal.processors.cache.persistence.wal$WalSegmentTailReachedException:35;1.0
org.apache.ignite.internal.processors.cache$GridCacheProcessor$RemovedItemsCleanupTask$1:5710;1.0
org.apache.ignite.internal$IgnitionEx$IgniteNamedInstance$1:1750;2.44140625E-4
org.apache.ignite.internal.pagemem.wal.record$ExchangeRecord:38;2.44140625E-4
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$GridDhtPartitionsExchangeFuture$8$2:4789;2.44140625E-4
org.apache.ignite.spi.discovery.tcp$ServerImpl$CrossRingMessageSendState:7880;2.44140625E-4
org.apache.ignite.spi.discovery.tcp$ServerImpl$RingMessageSendState:7838;2.44140625E-4
org.apache.ignite.spi.discovery.tcp.messages$TcpDiscoveryNodeFailedMessage:51;2.44140625E-4
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$GridDhtPartitionsExchangeFuture$8:4651;2.5089018975452307E-6
org.apache.ignite.internal.cluster$ClusterTopologyCheckedException:40;2.5089018975452307E-6
org.apache.ignite.spi.communication.tcp$TcpCommunicationSpi$DisconnectedSessionInfo:5144;1.0058283805847168E-7
org.apache.ignite.internal.processors.cache.mvcc.msg$MvccActiveQueriesMessage:41;1.0058283805847168E-7
org.apache.ignite.spi.discovery.tcp.internal$TcpDiscoveryNodesRing$2:63;4.5715820018443765E-11
org.apache.ignite.internal.processors.cache$ClusterCachesInfo$CacheComparators$1:2567;4.5715820018443765E-11
org.apache.ignite.internal.processors.cache$CacheAffinitySharedManager$18:2132;4.5715820018443765E-11
org.apache.ignite.spi.discovery.tcp.messages$TcpDiscoveryMetricsUpdateMessage$MetricsSet:260;4.5715820018443765E-11
org.apache.ignite.internal.processors.cache.distributed.dht.preloader.latch$ExchangeLatchManager$ClientLatch:664;4.5715820018443765E-11
org.apache.ignite.internal.processors.cache$CacheAffinitySharedManager$15:1801;1.2419731774040225E-11
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$CacheGroupAffinityMessage:65;1.2419731774040225E-11
org.apache.ignite.internal.processors.cache$CacheAffinitySharedManager$11:1511;1.2419731774040225E-11
org.apache.ignite.internal.processors.cache.persistence.wal$FileWriteAheadLogManager$1:174;1.2419731774040225E-11
org.apache.ignite.internal.processors.cache.persistence.wal$FileWriteAheadLogManager$2:181;1.2419731774040225E-11
org.apache.ignite.internal.util$IgniteUtils$34:10774;1.2419731774040225E-11
org.apache.ignite.internal.processors.cache.persistence.wal.crc$FastCrc:44;1.2419731774040225E-11
org.apache.ignite.internal.processors.cache.persistence.wal$FileWriteAheadLogManager$ReadFileHandle:2592;1.2419731774040225E-11
org.apache.ignite.internal.processors.cache.persistence.wal.io$FileInput$Crc32CheckingFileInput:73;1.2419731774040225E-11
org.apache.ignite.internal.pagemem.wal.record.delta$PagesListRemovePageRecord:41;1.2419731774040225E-11
org.apache.ignite.internal.pagemem.wal.record.delta$RotatedIdPartRecord:38;1.2419731774040225E-11
org.apache.ignite.internal.processors.cache$IncompleteObject:41;3.874204889999992E-12
org.apache.ignite.internal.processors.cache$GridChangeGlobalStateMessageResponse:50;1.3513057093104018E-12
org.apache.ignite.internal.direct.stream.v2$DirectByteBufferStreamImplV2$4:132;1.3513057093104018E-12
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree$GetCursor:3147;1.3513057093104018E-12
org.apache.ignite.internal.processors.cache$CacheAffinitySharedManager$12:1607;1.3513057093104018E-12
org.apache.ignite.internal.pagemem.wal.record$TimeStampRecord:36;1.3513057093104018E-12
org.apache.ignite.spi.discovery$DiscoveryDataBag:182;5.209868481924387E-13
org.apache.ignite.internal.processors.continuous$GridContinuousProcessor$DiscoveryData:2411;5.209868481924387E-13
org.apache.ignite.spi.discovery.tcp$ServerImpl$PendingMessages$SkipIterator:2712;5.209868481924387E-13
org.apache.ignite.spi.discovery$DiscoveryDataBag$GridDiscoveryDataImpl:98;5.209868481924387E-13
org.apache.ignite.internal.processors.cache$ClusterCachesInfo$GridData:2603;5.209868481924387E-13
