formula,metric_name,metric_value
barinel,density,0.42418768156629155
barinel,uniqueness,0.06793935991016282
barinel,entropy_barinel,-0.0
dstar,density,0.42418768156629155
dstar,uniqueness,0.06793935991016282
dstar,entropy_dstar,-0.0
ochiai,density,0.42418768156629155
ochiai,uniqueness,0.06793935991016282
ochiai,entropy_ochiai,-0.0
tarantula,density,0.42418768156629155
tarantula,uniqueness,0.06793935991016282
tarantula,entropy_tarantula,-0.0
barinel,density,0.4176909792767168
barinel,uniqueness,0.06425233644859812
barinel,entropy_barinel,-0.0
dstar,density,0.4176909792767168
dstar,uniqueness,0.06425233644859812
dstar,entropy_dstar,-0.0
ochiai,density,0.4176909792767168
ochiai,uniqueness,0.06425233644859812
ochiai,entropy_ochiai,-0.0
tarantula,density,0.4176909792767168
tarantula,uniqueness,0.06425233644859812
tarantula,entropy_tarantula,-0.0
barinel,density,0.36718232044198895
barinel,uniqueness,0.05856353591160221
barinel,entropy_barinel,-0.0
dstar,density,0.36718232044198895
dstar,uniqueness,0.05856353591160221
dstar,entropy_dstar,-0.0
ochiai,density,0.36718232044198895
ochiai,uniqueness,0.05856353591160221
ochiai,entropy_ochiai,-0.0
tarantula,density,0.36718232044198895
tarantula,uniqueness,0.05856353591160221
tarantula,entropy_tarantula,-0.0
barinel,density,0.6502808988764045
barinel,uniqueness,0.0028089887640449437
barinel,entropy_barinel,-0.0
dstar,density,0.6502808988764045
dstar,uniqueness,0.0028089887640449437
dstar,entropy_dstar,-0.0
ochiai,density,0.6502808988764045
ochiai,uniqueness,0.0028089887640449437
ochiai,entropy_ochiai,-0.0
tarantula,density,0.6502808988764045
tarantula,uniqueness,0.0028089887640449437
tarantula,entropy_tarantula,-0.0
barinel,density,0.4145873944119558
barinel,uniqueness,0.05740740740740741
barinel,entropy_barinel,0.026444748888288724
dstar,density,0.4145873944119558
dstar,uniqueness,0.05740740740740741
dstar,entropy_dstar,211.4496103274515
ochiai,density,0.4145873944119558
ochiai,uniqueness,0.05740740740740741
ochiai,entropy_ochiai,359.59391663938584
tarantula,density,0.4145873944119558
tarantula,uniqueness,0.05740740740740741
tarantula,entropy_tarantula,307.0700708403563
barinel,density,0.48167012513362256
barinel,uniqueness,0.05316606929510155
barinel,entropy_barinel,0.02674776123742012
dstar,density,0.48167012513362256
dstar,uniqueness,0.05316606929510155
dstar,entropy_dstar,155.30298086321432
ochiai,density,0.48167012513362256
ochiai,uniqueness,0.05316606929510155
ochiai,entropy_ochiai,309.5605368014973
tarantula,density,0.48167012513362256
tarantula,uniqueness,0.05316606929510155
tarantula,entropy_tarantula,302.50860850652583
