formula,metric_name,metric_value
barinel,density,0.2529131416799169
barinel,uniqueness,0.014368782738238262
barinel,entropy_barinel,-0.0
dstar,density,0.2529131416799169
dstar,uniqueness,0.014368782738238262
dstar,entropy_dstar,-0.0
ochiai,density,0.2529131416799169
ochiai,uniqueness,0.014368782738238262
ochiai,entropy_ochiai,-0.0
tarantula,density,0.2529131416799169
tarantula,uniqueness,0.014368782738238262
tarantula,entropy_tarantula,-0.0
barinel,density,0.24046372797378143
barinel,uniqueness,0.012810366999703235
barinel,entropy_barinel,-0.0
dstar,density,0.24046372797378143
dstar,uniqueness,0.012810366999703235
dstar,entropy_dstar,-0.0
ochiai,density,0.24046372797378143
ochiai,uniqueness,0.012810366999703235
ochiai,entropy_ochiai,-0.0
tarantula,density,0.24046372797378143
tarantula,uniqueness,0.012810366999703235
tarantula,entropy_tarantula,-0.0
barinel,density,0.28968945210742086
barinel,uniqueness,0.011448855114488551
barinel,entropy_barinel,0.4437318051710791
dstar,density,0.28968945210742086
dstar,uniqueness,0.011448855114488551
dstar,entropy_dstar,1179.865011498769
ochiai,density,0.28968945210742086
ochiai,uniqueness,0.011448855114488551
ochiai,entropy_ochiai,2253.2499848477246
tarantula,density,0.28968945210742086
tarantula,uniqueness,0.011448855114488551
tarantula,entropy_tarantula,2093.994136940138
