name;suspiciousness_value
org.apache.ignite.internal.util$IgniteUtils#wait(java.lang.Object):6506;1.0
org.apache.ignite.internal.util$IgniteUtils#awaitQuiet(java.util.concurrent.locks.Condition):7670;1.0
org.apache.ignite.internal.util$IgniteUtils#nodeIds(java.util.Collection):8031;1.0
org.apache.ignite.internal.util$IgniteUtils#stripeIdx(int,int,int):11636;1.0
org.apache.ignite.internal.processors.cache.persistence$DataStructure#read(long,org.apache.ignite.internal.processors.cache.persistence.tree.util.PageHandler,java.lang.Object,int,java.lang.Object,org.apache.ignite.internal.metric.IoStatisticsHolder):341;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree#getRootLevel():964;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree#mayMerge(int,int):2184;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree#splitPage(long,long,long,org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO,long,long,int):2698;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree#writeUnlockAndClose(long,long,long,java.lang.Boolean):2729;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree#askNeighbor(long,org.apache.ignite.internal.processors.cache.persistence.tree.BPlusTree$Get,boolean):2744;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree#doAskNeighbor(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO,long,boolean):2903;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree#inner(org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusIO):5336;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree#latestInnerIO():5345;1.0
org.apache.ignite.internal.processors.cache.persistence.tree$BPlusTree#read(long,org.apache.ignite.internal.processors.cache.persistence.tree.util.PageHandler,java.lang.Object,int,java.lang.Object):6051;1.0
org.apache.ignite.internal$GridKernalGatewayImpl#illegalState():201;1.0
org.apache.ignite.spi.communication.tcp$TcpCommunicationSpi#isHandshakeWaitSupported():4313;1.0
org.apache.ignite.internal.processors.affinity$GridAffinityProcessor#removeCachedAffinity(org.apache.ignite.internal.processors.affinity.AffinityTopologyVersion):228;1.0
org.apache.ignite.internal.processors.cache$GridCacheSharedManagerAdapter#isStopping():119;1.0
org.apache.ignite.util.deque$FastSizeDeque#peekFirst():187;1.0
org.apache.ignite.internal.processors.cache$GridCacheIoManager#readLock():500;1.0
org.apache.ignite.spi.discovery.tcp$ServerImpl#sweepMessageFailedNodes(org.apache.ignite.spi.discovery.tcp.messages.TcpDiscoveryAbstractMessage):2227;1.0
org.apache.ignite.spi.discovery.tcp.messages$TcpDiscoveryAbstractMessage#addFailedNode(java.util.UUID):294;1.0
org.apache.ignite.spi.discovery.tcp.messages$TcpDiscoveryAbstractMessage#failedNodes(java.util.Set):306;1.0
org.apache.ignite.spi.discovery.tcp.internal$TcpDiscoveryNodesRing#previousNode(java.util.Collection):520;1.0
org.apache.ignite.spi.discovery.tcp.internal$TcpDiscoveryNodesRing#previousNodeOf(org.apache.ignite.spi.discovery.tcp.internal.TcpDiscoveryNode):551;1.0
org.apache.ignite.spi.discovery.tcp.internal$TcpDiscoveryNodesRing#toString():697;1.0
org.apache.ignite.internal.util.lang.gridfunc$ReadOnlyCollectionView2X#contains(java.lang.Object):82;1.0
org.apache.ignite.internal.util.lang.gridfunc$ReadOnlyCollectionView2X#size():87;1.0
org.apache.ignite.spi.discovery.tcp$ServerImpl$RingMessageWorker#hasPendingAddMessage(java.util.UUID):3891;1.0
org.apache.ignite.internal.util$GridLongList#toString():428;1.0
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$GridDhtPartitionsExchangeFuture#addMergedJoinExchange(org.apache.ignite.cluster.ClusterNode,org.apache.ignite.internal.processors.cache.distributed.dht.preloader.GridDhtPartitionsSingleMessage):2636;1.0
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$GridDhtPartitionsExchangeFuture#mergeJoinExchange(org.apache.ignite.internal.processors.cache.distributed.dht.preloader.GridDhtPartitionsExchangeFuture):2700;1.0
org.apache.ignite.internal.processors.cache.distributed.dht.preloader$GridDhtPartitionsExchangeFuture#mergeJoinExchangeOnDone(org.apache.ignite.internal.processors.cache.distributed.dht.preloader.GridDhtPartitionsExchangeFuture):2721;1.0
