formula,metric_name,metric_value
barinel,density,0.14287296784450484
barinel,uniqueness,0.02284629981024668
barinel,entropy_barinel,4.111611385100344E-7
dstar,density,0.14287296784450484
dstar,uniqueness,0.02284629981024668
dstar,entropy_dstar,603.9471680610887
ochiai,density,0.14287296784450484
ochiai,uniqueness,0.02284629981024668
ochiai,entropy_ochiai,1543.3319014962624
tarantula,density,0.14287296784450484
tarantula,uniqueness,0.02284629981024668
tarantula,entropy_tarantula,1956.4995449320368
barinel,density,0.18060377343586462
barinel,uniqueness,0.09995615957913195
barinel,entropy_barinel,1.4876787296483495E-8
dstar,density,0.18060377343586462
dstar,uniqueness,0.09995615957913195
dstar,entropy_dstar,130.6804645994458
ochiai,density,0.18060377343586462
ochiai,uniqueness,0.09995615957913195
ochiai,entropy_ochiai,335.86072325347544
tarantula,density,0.18060377343586462
tarantula,uniqueness,0.09995615957913195
tarantula,entropy_tarantula,429.7718609891013
